is_polymer,log10_mw,is_phosphate,is_polyphosphate,is_sulfate,is_sulfonate,is_carboxylate,is_anionic,fg_density,eff_neg_charge_per_unit,is_metal_polyvalent,MolWt,LogP,TPSA,HBD,HBA,FormalCharge,NumRings,NumRotBonds,FracSP3,NumHeavyAtoms
0,1.7667102072622591,0,0,0,0,0,0,0.0,0.0,0,58.443,-5.992,0.0,0,0,0,0,0,0.0,2
0,1.8724476477890133,0,0,0,0,0,0,0.0,0.0,0,74.551,-5.992,0.0,0,0,0,0,0,0.0,2
0,2.045244720478147,0,0,0,0,0,0,0.0,0.0,1,110.98400000000001,-6.3728,0.0,0,0,0,0,0,0.0,3
0,1.9786825651569444,0,0,0,0,0,0,0.0,0.0,1,95.21100000000001,-6.3728,0.0,0,0,0,0,0,0.0,3
0,2.1344639915342887,0,0,0,0,0,0,0.0,0.0,1,136.296,-5.9945,0.0,0,0,0,0,0,0.0,3
0,2.2100508498751372,0,0,0,0,0,0,0.0,0.0,1,162.204,-8.9905,0.0,0,0,0,0,0,0.0,4
0,2.241197709698056,0,0,1,0,0,1,2.0,2.0,0,174.259,-7.329999999999999,80.25999999999999,0,4,0,0,0,0.0,7
0,2.1339857462685794,0,0,1,0,0,1,2.0,2.0,1,136.141,-1.7187999999999999,80.25999999999999,0,4,0,0,0,0.0,6
0,2.0805182605271177,0,0,1,0,0,1,2.0,2.0,1,120.368,-1.7187999999999999,80.25999999999999,0,4,0,0,0,0.0,6
0,2.214684930750601,1,0,0,0,0,1,3.0,3.0,0,163.94,-11.8126,86.25,0,4,0,0,0,0.0,8
0,2.565682566510878,1,1,0,0,0,1,5.0,5.0,0,367.8620000000001,-18.834600000000002,184.97,0,10,0,0,4,0.0,18
1,2.7865881762218763,1,1,0,0,0,1,6.0,6.0,0,548.7940000000002,-22.8606,283.69,0,16,-1,0,8,0.0,27
1,2.00842982679723,1,0,0,0,0,1,1.0,0.7,0,101.96099999999998,-3.5614,57.199999999999996,0,3,0,0,0,0.0,5
1,2.3010299956639813,0,0,0,0,1,1,1.0,0.4,0,200.0,-2.0,200.0,10,15,-2,1,20,0.9,50
1,2.296665190261531,0,0,0,0,1,1,1.0,0.4,0,198.0,-2.0,200.0,10,15,-2,1,20,0.9,50
1,4.301029995663981,0,0,1,0,0,1,1.2,1.2,0,20000.0,-2.0,200.0,10,15,-6,1,20,0.9,50
1,5.698970004336019,0,0,1,0,0,1,1.6,1.6,0,500000.0,-2.0,200.0,10,15,-8,1,20,0.9,50
1,5.0,0,0,1,0,0,1,1.6,1.6,0,100000.0,-2.0,200.0,10,15,-8,1,20,0.9,50
1,4.6020599913279625,0,0,1,0,0,1,1.65,1.65,0,40000.0,-2.0,200.0,10,15,-8,1,20,0.9,50
1,4.301029995663981,0,0,1,0,0,1,1.7,1.7,0,20000.0,-2.0,200.0,10,15,-8,1,20,0.9,50
1,4.176091259055681,0,0,1,0,0,1,1.71,1.71,0,15000.0,-2.0,200.0,10,15,-8,1,20,0.9,50
1,3.6989700043360187,0,0,1,0,0,1,1.78,1.78,0,5000.0,-2.0,200.0,10,15,-8,1,20,0.9,50
1,3.4771212547196626,0,0,1,0,0,1,1.79,1.79,0,3000.0,-2.0,200.0,10,15,-8,1,20,0.9,50
1,4.0,0,0,0,1,0,1,1.0,1.0,0,10000.0,-2.0,200.0,10,15,-5,1,20,0.9,50
0,3.3380578754197563,0,0,0,0,1,1,8.0,3.2,0,2178.0,-2.0,200.0,10,15,-16,1,20,0.9,50
0,2.255658373171252,0,0,0,0,0,0,5.0,0.0,0,180.156,-3.2214000000000005,110.38000000000001,5,6,0,1,1,1.0,12
0,2.255658373171252,0,0,0,0,0,0,5.0,0.0,0,180.156,-3.2197999999999998,110.38000000000001,5,6,0,1,1,1.0,12
0,2.534406899137877,0,0,0,0,0,0,8.0,0.0,0,342.297,-5.395599999999993,189.52999999999997,8,11,0,2,5,1.0,23
0,2.534406899137877,0,0,0,0,0,0,8.0,0.0,0,342.297,-5.397199999999993,189.52999999999997,8,11,0,2,4,1.0,23
1,2.6989700043360187,0,0,0,0,0,0,12.0,0.0,0,500.0,-2.0,200.0,10,15,0,1,20,0.9,50
1,2.6989700043360187,0,0,0,0,0,0,12.0,0.0,0,500.0,-2.0,200.0,10,15,0,1,20,0.9,50
1,2.6989700043360187,0,0,0,0,0,0,12.0,0.0,0,500.0,-2.0,200.0,10,15,0,1,20,0.9,50
1,4.698970004336019,0,0,0,0,0,0,3.0,0.0,0,50000.0,-2.0,200.0,10,15,0,1,20,0.9,50
1,4.301029995663981,0,0,0,0,0,0,3.0,0.0,0,20000.0,-2.0,200.0,10,15,0,1,20,0.9,50
1,5.0,0,0,0,0,0,0,3.0,0.0,0,100000.0,-2.0,200.0,10,15,0,1,20,0.9,50
1,3.7403626894942437,0,0,0,0,0,0,3.0,0.0,0,5500.0,-2.0,200.0,10,15,0,1,20,0.9,50
1,5.176091259055681,0,0,0,0,1,1,0.7,0.27999999999999997,0,150000.0,-2.0,200.0,10,15,-1,1,20,0.9,50
1,5.544068044350276,0,0,0,0,1,1,0.2,0.08000000000000002,0,350000.0,-2.0,200.0,10,15,0,1,20,0.9,50
0,2.1822719566941857,0,0,0,0,0,0,5.0,0.0,0,152.146,-2.9463000000000004,101.15,5,5,0,0,4,1.0,10
0,2.260476858327423,0,0,0,0,0,0,6.0,0.0,0,182.172,-3.5854000000000004,121.38000000000001,6,6,0,0,5,1.0,12
0,2.3037143086537104,0,0,0,1,0,1,1.0,1.0,0,217.24299999999997,-3.5043999999999995,86.74000000000001,0,5,0,1,0,0.25,12
0,2.2835725779669245,0,0,0,0,1,1,3.0,1.2000000000000002,0,192.123,-1.2484999999999995,132.13,4,4,0,0,5,0.5,13
0,2.127396390776607,0,0,0,0,1,1,2.0,0.8,0,134.087,-1.0934000000000001,94.83,3,3,0,0,3,0.5,9
0,1.954628377507271,0,0,0,0,1,1,1.0,0.4,0,90.07799999999999,-0.5482,57.53,2,2,0,0,1,0.6666666666666666,6
0,2.1763517576030718,0,0,0,0,1,1,2.0,0.8,0,150.08599999999998,-2.1226,115.06000000000002,4,4,0,0,3,0.5,10
0,2.245808676787488,0,0,0,0,1,1,2.0,0.8,0,176.124,-1.4074,107.22,4,6,0,1,2,0.5,12
0,1.9642124729698192,0,0,0,0,0,0,3.0,0.0,0,92.09400000000001,-1.6681000000000001,60.69,3,3,0,0,2,1.0,6
1,4.698970004336019,0,0,0,0,0,0,0.0,0.0,0,50000.0,-2.0,200.0,10,15,0,1,20,0.9,50
